codigo,descricao,descricao_sefaz,gtin,ncm,gpc,unidade_medida,data_venda,valor_declarado,valor_venda
61,COADOR DESCARTAVEL P TINTA,,7891452179092,38140090,83000000,LT,2026-09-14T19:14:37Z,1.0,1.0
7891153033211,TINTA ACRILICA BRILH,,0,32091010,83000000,UN,2026-09-09T16:11:13Z,2.0,2.0
7891153079493,TINTA ACRILICA FOSCA,,0,32091010,83000000,UN,2026-09-15T20:09:59Z,2.0,2.0
12459,TINTA LIQUIDA ARTISTICA VERMELHA 15ML - ROSTINHO PINTADO,,0,32082019,83000000,UN,2026-09-11T20:38:05Z,4.9,2.05
000162,TINTA ESM.SINT.100ML TINTAS LUX,,0,32081010,83000000,UN,2026-09-09T15:53:33Z,9.9,2.3333333333333335
12465,TINTA LIQUIDA ARTISTICA PELE 1 15ML - ROSTINHO PINTADO,,0,32082019,83000000,UN,2026-09-11T20:38:05Z,5.9,2.47
12468,TINTA LIQUIDA ARTISTICA PINK FLUOR 15ML - ROSTINHO PINTADO,,0,32082019,83000000,UN,2026-09-11T20:38:05Z,5.9,2.47
0000000003156,PROMOCAO TINTA FOSCA,,0,32091010,83000000,UN,2026-09-11T15:47:59Z,2.75,2.75
13746,POLIDOR LIMPA BOM 500ML,POLIDOR DE ALUMINIO LIMPA BOM R MAIS500M - 1X500ML,7898758141303,32091010,83000000,UN,2026-09-14T17:16:18Z,2.79,2.79
2375,CORANTE VIOLETA 50ML HIDROTINTAS,BISNAGA CORANTE VIOLETA 50ML HIDRO COLOR HIDROTINTAS,7899010478076,32041700,83000000,UND,2026-09-14T18:18:15Z,3.15,3.15
2371,CORANTE AZUL 50ML HIDROTINTAS,BISNAGA CORANTE AZUL 50ML HIDRO COLOR HIDROTINTAS,7899010478038,32041700,83000000,UND,2026-09-14T18:40:05Z,3.15,3.15
013085,TINTA SPRAY 350ML TEKBOND,,0,32082019,83000000,UN,2026-09-12T11:22:46Z,22.0,3.2
12454,TINTA FACIAL METALICA AZUL 15ML - ROSTINHO PINTADO,,0,32082019,83000000,UN,2026-09-11T20:38:05Z,8.9,3.73
6399,CORANTE SOLUT 50ML PRETO - TINTAS LUX,,0,32041700,83000000,UN,2026-09-10T17:34:15Z,4.0,4.0
5103,TINTA PARA MARCADOR QB 20ML PRETO - RADEX,,0,32082019,83000000,UN,2026-09-10T18:28:57Z,4.4,4.4
577,CORANTE SOLUT 50ML VIOLETA - TINTAS LUX,,0,32082011,83000000,UN,2026-09-09T16:20:50Z,4.99,4.88
7891153072210,TINTA P TECIDO 37ML,,0,32091010,83000000,UN,2026-09-10T14:25:01Z,5.55,4.993333333333333
565,CORANTE SOLUT 50ML VERMELHO - TINTAS LUX,,0,32082011,83000000,UN,2026-09-11T17:52:25Z,5.0,5.0
660,CORANTE AZUL SOLUT 50ML - TINTAS LUX,,0,32041700,83000000,UN,2026-09-09T17:30:05Z,5.0,5.0
1890,CORANTE OCRE 50ML - SOLUT - TINTAS LUX,,0,32041700,83000000,UN,2026-09-12T14:36:28Z,5.0,5.0
447,HIDRACOR TINTA PO CREME SC 02KGS,,0,25223000,83000000,UN,2026-09-11T12:42:37Z,5.0,5.0
566,Rejunte cz Rhota,"HIDRAMAIS ESM SINT BCO GELO 900ML -> COD.ONU: 1263 CL.RISCO: 3,0 GR.EMB: III TINTA CONTENDO SOLVENTE ORGANICO. PESO BRUT",7897144014375,32081010,83000000,UN,2026-09-11T18:23:43Z,5.0,5.0
7891153049663,TINTA P TECIDO META,,0,32091010,83000000,UN,2026-09-14T16:25:29Z,5.0,5.0
29719,CORANTE SOLUT 50ML PRETO TINTAS LUX,,0,32041700,83000000,UN,2026-09-12T14:46:40Z,5.0,5.0
344,CORANTE SOLUT 50ML PRETO - TINTAS LUX,,0,32041700,83000000,UNID,2026-09-13T14:40:22Z,6.0,5.0
000401,CORANTE SOLUT 50ML AMARELO - TINTAS LUX,,0,32041700,83000000,UN,2026-09-15T18:36:38Z,5.0,5.0
000404,CORANTE SOLUT 50ML VERDE - TINTAS LUX,,0,32041700,83000000,UN,2026-09-15T18:36:11Z,5.0,5.0
7891153040097,TINTA P TECIDO 37ML,,0,32091010,83000000,UN,2026-09-10T14:23:21Z,5.2,5.2
7891153026299,TINTA FOSCA P ARTES,,0,32091010,83000000,UN,2026-09-15T13:38:58Z,5.25,5.25
7891153025612,TINTA FOSCA P ARTESANATO 37ML ACRILEX,,0,32091010,83000000,UN,2026-09-09T13:35:38Z,5.25,5.25
7891153032191,TINTA FOSCA P ARTE,,0,32091010,83000000,UN,2026-09-15T15:20:41Z,5.25,5.25
7891153032078,TINTA FOSCA P ARTESA,,0,32091010,83000000,UN,2026-09-15T20:02:06Z,5.25,5.25
07898903221225,TINTA LIQUIDA FACIAL 15ML REF 1209 COLORMAKE,,0,32089010,83000000,UN,2026-09-09T14:11:53Z,5.8,5.51
7891153041339,TINTA P TECIDO 37ML,,0,32091010,83000000,UN,2026-09-14T14:43:51Z,5.55,5.55
7891153041346,TINTA P TECIDO 37ML,,0,32091010,83000000,UN,2026-09-14T15:06:21Z,5.55,5.55
7891153041391,TINTA P TECIDO 37ML,,0,32091010,83000000,UN,2026-09-14T15:58:16Z,5.55,5.55
7891153041407,TINTA P TECIDO 37ML,,0,32091010,83000000,UN,2026-09-14T16:08:19Z,5.55,5.55
