codigo,descricao,unidade_medida,grupo,data_venda,valor_declarado,valor_venda
3092,"4381 TINTA BRANCO NEVE INTERNA GL 3,0L",UN,tinta_branca,2026-09-11T14:30:37Z,25.9,25.9
3003,"4382 TINTA BRANCO GELO INTERNA GL 3,0L",UN,tinta_branca,2026-09-11T14:01:42Z,25.9,25.9
3117,5130 TINTA BRANCO NEVE INTERNA BD 15L,BD,tinta_branca,2026-09-15T15:25:35Z,97.0,97.0
3118,5132 TINTA BRANCO GELO INTERNO BD 15L,BD,tinta_branca,2026-09-15T15:10:33Z,69.9,69.9
3154,5598 TINTA PISO BRANCO BD 15L,UN,tinta_branca,2026-09-09T20:46:25Z,212.0,212.0
3081,935590 TINTA SPRAY USOGERAL BR BRILHO 350ML,PEC,tinta_branca,2026-09-14T13:16:20Z,18.0,18.0
3081,935590 TINTA SPRAY USOGERAL BR BRILHO 350ML,PEC,tinta_spray,2026-09-14T13:16:20Z,18.0,18.0
07197,"ACR FOSCO BRANCO 0,9L RENDE MUITO CORAL",UN,tinta_acrilica,2026-09-12T14:32:06Z,38.03,38.03
07197,"ACR FOSCO BRANCO 0,9L RENDE MUITO CORAL",UN,tinta_acrilica,2026-09-15T17:48:37Z,38.03,38.03
07197,"ACR FOSCO BRANCO 0,9L RENDE MUITO CORAL",UN,tinta_acrilica,2026-09-14T14:11:37Z,38.03,38.03
07197,"ACR FOSCO BRANCO 0,9L RENDE MUITO CORAL",UN,tinta_acrilica_branca,2026-09-12T14:32:06Z,38.03,38.03
07197,"ACR FOSCO BRANCO 0,9L RENDE MUITO CORAL",UN,tinta_acrilica_branca,2026-09-15T17:48:37Z,38.03,38.03
07197,"ACR FOSCO BRANCO 0,9L RENDE MUITO CORAL",UN,tinta_acrilica_branca,2026-09-14T14:11:37Z,38.03,38.03
07197,"ACR FOSCO BRANCO 0,9L RENDE MUITO CORAL",UN,tinta_branca,2026-09-12T14:32:06Z,38.03,38.03
07197,"ACR FOSCO BRANCO 0,9L RENDE MUITO CORAL",UN,tinta_branca,2026-09-15T17:48:37Z,38.03,38.03
07197,"ACR FOSCO BRANCO 0,9L RENDE MUITO CORAL",UN,tinta_branca,2026-09-14T14:11:37Z,38.03,38.03
832,ACR FOSCO BRANCO TINTAX 15L LT MIRACOR,UN,tinta_acrilica,2026-09-11T20:24:08Z,85.0,85.0
